,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,month,hour,weekday,count
0,1/20/11 0:00,1,0,1,1,10.66,11.365,56,26.0027,1,0,4,10.2
1,1/26/12 0:00,1,0,1,2,11.48,14.395,75,7.0015,1,0,4,10.2
2,1/20/11 1:00,1,0,1,1,10.66,13.635,56,0.0,1,1,4,3.8
3,1/26/12 1:00,1,0,1,2,11.48,15.91,75,0.0,1,1,4,3.8
4,1/20/11 2:00,1,0,1,1,10.66,13.635,56,0.0,1,2,4,2.6
5,1/26/12 2:00,1,0,1,2,11.48,13.635,75,11.0014,1,2,4,2.6
6,1/20/11 3:00,1,0,1,1,10.66,12.88,56,11.0014,1,3,4,3.5
7,1/26/12 3:00,1,0,1,2,11.48,15.15,75,6.0032,1,3,4,3.5
8,1/20/11 4:00,1,0,1,1,10.66,12.88,56,11.0014,1,4,4,2.6
9,1/26/12 4:00,1,0,1,1,11.48,15.91,75,0.0,1,4,4,2.6
10,1/20/11 5:00,1,0,1,1,9.84,11.365,60,15.0013,1,5,4,13.6
11,1/26/12 5:00,1,0,1,2,12.3,15.91,75,7.0015,1,5,4,13.6
12,1/20/11 6:00,1,0,1,1,9.02,10.605,60,15.0013,1,6,4,63.4
13,1/26/12 6:00,1,0,1,2,11.48,15.91,81,0.0,1,6,4,63.4
14,1/20/11 7:00,1,0,1,1,9.02,10.605,55,15.0013,1,7,4,161.6
15,1/26/12 7:00,1,0,1,2,11.48,15.15,81,6.0032,1,7,4,161.6
16,1/20/11 8:00,1,0,1,1,9.02,10.605,55,19.0012,1,8,4,348.0
17,1/26/12 8:00,1,0,1,2,11.48,15.15,81,6.0032,1,8,4,348.0
18,1/20/11 9:00,1,0,1,2,9.84,11.365,52,15.0013,1,9,4,185.6
19,1/26/12 9:00,1,0,1,2,12.3,16.665,81,0.0,1,9,4,185.6
20,1/20/11 10:00,1,0,1,1,10.66,11.365,48,19.9995,1,10,4,73.4
21,1/26/12 10:00,1,0,1,2,12.3,15.15,81,8.9981,1,10,4,73.4
22,1/20/11 11:00,1,0,1,2,11.48,13.635,45,11.0014,1,11,4,79.6
23,1/26/12 11:00,1,0,1,2,12.3,15.91,87,7.0015,1,11,4,79.6
24,1/20/11 12:00,1,0,1,2,12.3,16.665,42,0.0,1,12,4,102.2
25,1/26/12 12:00,1,0,1,2,13.94,16.665,81,8.9981,1,12,4,102.2
26,1/20/11 13:00,1,0,1,2,11.48,14.395,45,7.0015,1,13,4,115.0
27,1/26/12 13:00,1,0,1,2,15.58,19.695,71,0.0,1,13,4,115.0
28,1/20/11 14:00,1,0,1,2,12.3,15.15,45,8.9981,1,14,4,100.8
29,1/26/12 14:00,1,0,1,2,16.4,20.455,71,7.0015,1,14,4,100.8
30,1/20/11 15:00,1,0,1,2,13.12,15.91,45,12.998,1,15,4,111.2
31,1/26/12 15:00,1,0,1,2,17.22,21.21,71,7.0015,1,15,4,111.2
32,1/20/11 16:00,1,0,1,2,12.3,15.15,49,8.9981,1,16,4,167.0
33,1/27/11 16:00,1,0,1,1,9.02,11.365,55,12.998,1,16,4,167.0
34,1/26/12 16:00,1,0,1,2,16.4,20.455,71,6.0032,1,16,4,167.0
35,1/20/11 17:00,1,0,1,2,12.3,15.91,49,7.0015,1,17,4,325.2
36,1/27/11 17:00,1,0,1,1,9.02,12.12,55,7.0015,1,17,4,325.2
37,1/26/12 17:00,1,0,1,2,17.22,21.21,71,0.0,1,17,4,325.2
38,1/20/11 18:00,1,0,1,2,10.66,12.88,56,12.998,1,18,4,294.4
39,1/27/11 18:00,1,0,1,1,8.2,11.365,69,6.0032,1,18,4,294.4
40,1/26/12 18:00,1,0,1,2,17.22,21.21,71,0.0,1,18,4,294.4
41,1/20/11 19:00,1,0,1,1,10.66,11.365,56,22.0028,1,19,4,208.0
42,1/27/11 19:00,1,0,1,1,8.2,11.365,69,6.0032,1,19,4,208.0
43,1/26/12 19:00,1,0,1,2,16.4,20.455,76,7.0015,1,19,4,208.0
44,1/20/11 20:00,1,0,1,2,10.66,12.12,60,19.0012,1,20,4,148.2
45,1/27/11 20:00,1,0,1,1,7.38,10.605,74,6.0032,1,20,4,148.2
46,1/26/12 20:00,1,0,1,2,16.4,20.455,82,8.9981,1,20,4,148.2
47,1/20/11 21:00,1,0,1,2,9.84,11.365,60,16.9979,1,21,4,96.0
48,1/27/11 21:00,1,0,1,1,7.38,10.605,74,6.0032,1,21,4,96.0
49,1/26/12 21:00,1,0,1,2,16.4,20.455,76,7.0015,1,21,4,96.0
50,1/20/11 22:00,1,0,1,2,9.84,10.605,65,19.0012,1,22,4,75.2
51,1/27/11 22:00,1,0,1,1,7.38,10.605,74,6.0032,1,22,4,75.2
52,1/26/12 22:00,1,0,1,1,15.58,19.695,82,7.0015,1,22,4,75.2
53,1/20/11 23:00,1,0,1,2,9.84,10.605,65,22.0028,1,23,4,44.2
54,1/27/11 23:00,1,0,1,1,7.38,9.85,80,11.0014,1,23,4,44.2
55,1/26/12 23:00,1,0,1,2,16.4,20.455,82,0.0,1,23,4,44.2
56,1/21/11 0:00,1,0,1,2,9.84,11.365,70,16.9979,1,0,5,24.5
57,1/28/11 0:00,1,0,1,2,8.2,10.605,75,8.9981,1,0,5,24.5
58,1/20/12 0:00,1,0,1,2,10.66,11.365,48,19.9995,1,0,5,24.5
59,1/27/12 0:00,1,0,1,2,16.4,20.455,82,16.9979,1,0,5,24.5
60,1/21/11 1:00,1,0,1,2,9.84,11.365,70,16.9979,1,1,5,8.0
61,1/28/11 1:00,1,0,1,2,8.2,10.605,75,8.9981,1,1,5,8.0
62,1/20/12 1:00,1,0,1,1,10.66,13.635,48,8.9981,1,1,5,8.0
63,1/27/12 1:00,1,0,1,2,16.4,20.455,87,15.0013,1,1,5,8.0
64,1/21/11 2:00,1,0,1,3,9.84,12.12,75,11.0014,1,2,5,5.25
65,1/28/11 2:00,1,0,1,2,8.2,10.605,75,11.0014,1,2,5,5.25
66,1/20/12 2:00,1,0,1,1,10.66,13.635,48,8.9981,1,2,5,5.25
67,1/27/12 2:00,1,0,1,1,17.22,21.21,94,8.9981,1,2,5,5.25
68,1/21/11 3:00,1,0,1,3,9.02,10.605,80,19.9995,1,3,5,4.0
69,1/28/11 3:00,1,0,1,2,8.2,11.365,75,7.0015,1,3,5,4.0
70,1/20/12 3:00,1,0,1,1,9.84,12.88,52,7.0015,1,3,5,4.0
71,1/27/12 3:00,1,0,1,2,17.22,21.21,94,19.0012,1,3,5,4.0
72,1/21/11 4:00,1,0,1,2,9.02,12.88,87,6.0032,1,4,5,2.3333333333333335
73,1/20/12 4:00,1,0,1,1,9.02,12.12,60,7.0015,1,4,5,2.3333333333333335
74,1/27/12 4:00,1,0,1,2,16.4,20.455,100,19.9995,1,4,5,2.3333333333333335
75,1/21/11 5:00,1,0,1,1,9.84,9.85,60,27.9993,1,5,5,11.75
76,1/28/11 5:00,1,0,1,2,7.38,10.605,80,7.0015,1,5,5,11.75
77,1/20/12 5:00,1,0,1,1,9.02,12.12,60,7.0015,1,5,5,11.75
78,1/27/12 5:00,1,0,1,2,17.22,21.21,94,22.0028,1,5,5,11.75
79,1/21/11 6:00,1,0,1,1,9.02,10.605,55,16.9979,1,6,5,48.5
80,1/28/11 6:00,1,0,1,2,7.38,9.85,80,8.9981,1,6,5,48.5
81,1/20/12 6:00,1,0,1,1,9.84,10.605,60,19.0012,1,6,5,48.5
82,1/27/12 6:00,1,0,1,2,17.22,21.21,100,22.0028,1,6,5,48.5
83,1/21/11 7:00,1,0,1,1,8.2,9.09,51,19.0012,1,7,5,134.0
