,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,month,hour,weekday,count_x,count_y
0,1/20/11 0:00,1,0,1,1,10.66,11.365,56,26.0027,1,0,4,10.2,13.043478260869565
1,1/26/12 0:00,1,0,1,2,11.48,14.395,75,7.0015,1,0,4,10.2,13.043478260869565
2,1/21/11 0:00,1,0,1,2,9.84,11.365,70,16.9979,1,0,5,24.5,13.043478260869565
3,1/28/11 0:00,1,0,1,2,8.2,10.605,75,8.9981,1,0,5,24.5,13.043478260869565
4,1/20/12 0:00,1,0,1,2,10.66,11.365,48,19.9995,1,0,5,24.5,13.043478260869565
5,1/27/12 0:00,1,0,1,2,16.4,20.455,82,16.9979,1,0,5,24.5,13.043478260869565
6,1/24/11 0:00,1,0,1,1,2.46,3.03,41,12.998,1,0,1,8.333333333333334,13.043478260869565
7,1/31/11 0:00,1,0,1,2,9.84,11.365,65,15.0013,1,0,1,8.333333333333334,13.043478260869565
8,1/23/12 0:00,1,0,1,2,7.38,12.12,86,0.0,1,0,1,8.333333333333334,13.043478260869565
9,1/30/12 0:00,1,0,1,2,13.12,14.395,26,27.9993,1,0,1,8.333333333333334,13.043478260869565
10,1/25/11 0:00,1,0,1,2,6.56,6.82,69,19.0012,1,0,2,11.2,13.043478260869565
11,1/24/12 0:00,1,0,1,2,12.3,14.395,100,19.0012,1,0,2,11.2,13.043478260869565
12,1/31/12 0:00,1,0,1,1,11.48,13.635,52,16.9979,1,0,2,11.2,13.043478260869565
13,1/26/11 0:00,1,0,1,2,9.02,11.365,69,8.9981,1,0,3,11.666666666666666,13.043478260869565
14,1/25/12 0:00,1,0,1,1,10.66,15.15,93,0.0,1,0,3,11.666666666666666,13.043478260869565
15,1/20/11 1:00,1,0,1,1,10.66,13.635,56,0.0,1,1,4,3.8,5.043478260869565
16,1/26/12 1:00,1,0,1,2,11.48,15.91,75,0.0,1,1,4,3.8,5.043478260869565
17,1/21/11 1:00,1,0,1,2,9.84,11.365,70,16.9979,1,1,5,8.0,5.043478260869565
18,1/28/11 1:00,1,0,1,2,8.2,10.605,75,8.9981,1,1,5,8.0,5.043478260869565
19,1/20/12 1:00,1,0,1,1,10.66,13.635,48,8.9981,1,1,5,8.0,5.043478260869565
20,1/27/12 1:00,1,0,1,2,16.4,20.455,87,15.0013,1,1,5,8.0,5.043478260869565
21,1/24/11 1:00,1,0,1,1,1.64,2.275,45,12.998,1,1,1,2.6666666666666665,5.043478260869565
22,1/31/11 1:00,1,0,1,1,9.02,10.605,64,16.9979,1,1,1,2.6666666666666665,5.043478260869565
23,1/23/12 1:00,1,0,1,2,7.38,10.605,86,7.0015,1,1,1,2.6666666666666665,5.043478260869565
